video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/shorts/1FL3afr0dO4,/@MedCircle,MedCircle,"""Dealing with anxiety can be as simple as...""",267K,1 year,Sometimes a simple shift in perspective can help calm feelings of anxiety...dealing with anxiety starts here. Watch this entire ...,2024-01-23 03:58:32.035694
/watch?v=VRxOmosteCc&pp=ygUMYW54aWV0eSBoZWxw,/@PsychHub,Psych Hub,#LetsTalkAboutIt: How to Overcome Anxiety,352K,2 years,"How do you break the cycle of anxiety? Reducing your triggers, practicing deep belly breathing, and changing your thoughts are ...",2024-01-23 03:58:32.037709
/watch?v=MK0rESk_oW0&pp=ygUMYW54aWV0eSBoZWxw,/@TherapyinaNutshell,Therapy in a Nutshell,Quick-Start Guide to Anxiety Treatment,159K,1 year,"An anxiety disorder diagnosis does not mean that you are defective, nor that it's your fault, you're not broken. The disorder is ...",2024-01-23 03:58:32.045680
/watch?v=9mPwQTiMSj8&pp=ygUMYW54aWV0eSBoZWxw,/@osmosis,Osmosis from Elsevier,"Generalized anxiety disorder (GAD) - causes, symptoms & treatment",2.7M,7 years,What is generalized anxiety disorder? Generalized anxiety disorder—sometimes shortened to GAD—is a condition characterized ...,2024-01-23 03:58:32.048075
/shorts/DgAx4S2xprk,/@TherapyinaNutshell,Therapy in a Nutshell,Anxiety can help you! #shorts,40K,1 year,Therapy in a Nutshell and the information provided by Emma McAdam are solely intended for informational and entertainment ...,2024-01-23 03:58:41.871263
/watch?v=oSwsX44r6qA&pp=ygUMYW54aWV0eSBoZWxw,/@WanderingRain999,Wandering Rain,"Relaxing Sounds Help Deep Sleep, Heal Stress, Anxiety And Depression - Relaxing Rain",122,2 days,"rain #rainsounds #rainsoundsforsleep Indulge in the therapeutic power of ""Relaxing Sounds Help Deep Sleep, Heal Stress, ...",2024-01-23 03:58:41.873444
/watch?v=w_2STJAJhJM&pp=ygUMYW54aWV0eSBoZWxw,/@BBC,BBC,Incredible animation on battling and overcoming anxiety - BBC,145K,4 years,"Narrated in first person, this film explores the impact of anxiety and how it can affect your life. Aneeka and Sam's testimony is open ...",2024-01-23 03:58:41.875787
/watch?v=QEqHZB5MRQg&pp=ygUMYW54aWV0eSBoZWxw,/@11Alive,11Alive,Overcoming severe anxiety and the path to mental wellness | Anxiety Nation full series,12K,9 months,"According to the Anxiety and Depression Association of America, anxiety is the most common mental illness in the country. In the ...",2024-01-23 03:58:41.879086
/watch?v=T-MmQ2nFGSA&pp=ygUMYW54aWV0eSBoZWxw,/@robbaugh4656,My life with a brain injury,Anxiety after a brain injury,55,2 days,"What is Anxiety? Rob, a brain injury survivor, tells a story of a recent event that lead to a high level of anxiety. Ashley offer's up a ...",2024-01-23 03:58:41.881457
/watch?v=BnGkzoIuQYw&pp=ygUMYW54aWV0eSBoZWxw,/@CBSNews,CBS News,"""Monkey Mind"" author talks chronic anxiety",45K,11 years,Author Daniel Smith has battled chronic anxiety for much of his life. He talks to Gayle King about his condition and his new memoir ...,2024-01-23 03:58:41.883771
/watch?v=ZidGozDhOjg&pp=ygUMYW54aWV0eSBoZWxw,/@TEDx,TEDx Talks,How to stop feeling anxious about anxiety | Tim Box | TEDxFolkestone,2.6M,4 years,"NOTE FROM TED: While some viewers might find advice provided in this talk to be helpful as a complementary approach, please ...",2024-01-23 03:58:41.889848
/watch?v=f8AaoZRfhUU&pp=ygUMYW54aWV0eSBoZWxw,/@abcactionnews,ABC Action News,Calm your anxiety with three natural and affordable remedies,133K,6 years,"Women are twice as likely as men to suffer anxiety. Several natural affordable remedies include kava, lavender and ...",2024-01-23 03:58:41.897727
/watch?v=WWloIAQpMcQ&pp=ygUMYW54aWV0eSBoZWxw,/@TEDx,TEDx Talks,How to cope with anxiety | Olivia Remes | TEDxUHasselt,5.1M,6 years,"Anxiety is one of most prevalent mental health disorders, with 1 out of 14 people around the world being likely affected. Leading ...",2024-01-23 03:58:41.902464
/watch?v=sRwaqD-BnHM&pp=ygUMYW54aWV0eSBoZWxw,/@UCLAHealth,UCLA Health,How Parents Can Help With Child Anxiety  | UCLA CARES Center,74K,5 years,"UCLA Center for Child Anxiety Resilience Education and Support (CARES) Director, Dr. John Piacentini and CARES Clinical ...",2024-01-23 03:58:41.907863
/watch?v=xGb4fvfZpWM&pp=ygUMYW54aWV0eSBoZWxw,/@drali,Doctor Ali Mattu,10 quick anxiety relief techniques,729K,3 years,"10 quick anxiety relief techniques from cognitive behavioral therapy that are simple coping skills, reduce anxiety fast, and can ...",2024-01-23 03:58:41.913025
/watch?v=lgZCV3qmCXA&pp=ygUMYW54aWV0eSBoZWxw,/@GMA,Good Morning America,How to help your loved ones cope with anxiety,4.1K,9 months,ABC News' Dr. Jennifer Ashton takes viewers' questions and gives her prescription for wellness. SUBSCRIBE to GMA's YouTube ...,2024-01-23 03:58:41.915639
