video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=-xg5-HF4ehU&pp=ygUNbWVudGFsIGhlYWx0aA%3D%3D,/@melrobbins,Mel Robbins,Reset Your Mental Health: The Diet & Nutrition Protocol From a Renowned Harvard MD,25K,17 hours,"Ready to make 2024 your best year ever? https://bit.ly/melrobbins_bestyear Download my FREE, 29-page workbook ...",2024-01-23 03:45:32.341185
/watch?v=DxIDKZHW3-E&pp=ygUNbWVudGFsIGhlYWx0aA%3D%3D,/@AnnaFreudNCCF,Anna Freud,We All Have Mental Health,2.2M,5 years,Download the accompanying teacher toolkit from https://www.annafreud.org/wahmhtoolkit It's free! We All Have Mental Health is ...,2024-01-23 03:45:32.343997
/watch?v=E0jXvD3K7wE&pp=ygUNbWVudGFsIGhlYWx0aA%3D%3D,/@DrScottEilers,"Dr. Scott Eilers, PsyD, LP",13 + 1 Ways to Fix Your Mental Health in 2024,4.6K,9 hours,There are typically 3 reasons you might struggle to set and achieve goals. 1. You don't have enough time or energy to do the thing ...,2024-01-23 03:45:32.346200
/watch?v=rkZl2gsLUp4&pp=ygUNbWVudGFsIGhlYWx0aA%3D%3D,/@TEDx,TEDx Talks,How to manage your mental health | Leon Taylor | TEDxClapham,2.4M,5 years,"Prolonged psychological stress is the enemy of our mental health, and physical movement is our best weapon to respond.​ Leon ...",2024-01-23 03:45:42.054807
/watch?v=dzP7OsuO_ns&pp=ygUNbWVudGFsIGhlYWx0aA%3D%3D,/@PictureFit,PictureFit,Can More PROTEIN Improve Your Mental Health? (New Study),22K,1 day,Help me make more cheesy content: https://youtube.com/picturefit/join Discord ▻ https://discord.gg/picturefit For Cheesy Fitness ...,2024-01-23 03:45:42.064515
/watch?v=P_zxxTjrsjA&pp=ygUNbWVudGFsIGhlYWx0aA%3D%3D,/@BottleYT,Bottle,Amberlynn Reid gains weight & blaims it on mental health,11K,5 hours,Amber is giving up on weigh ins & going through mental health issues around Jan. We all know its cause of Destiny & Beck.,2024-01-23 03:45:42.066447
/watch?v=mv3DTxZ3Huc&pp=ygUNbWVudGFsIGhlYWx0aA%3D%3D,/@TODAY,TODAY,New book 'Madness' highlights intersection of race and mental health,433,9 hours,NBC News correspondent Antonia Hylton joins TODAY to talk about her new book “Madness: Race and Insanity in a Jim Crow ...,2024-01-23 03:45:42.068284
/watch?v=lQhpetkwWnM&pp=ygUNbWVudGFsIGhlYWx0aA%3D%3D,/@NIMHgov,National Institute of Mental Health (NIMH),Mental Health Minute: Depression,170K,3 years,"Got 60 seconds? Take a mental health minute to learn about depression. For more information on depression, please visit: ...",2024-01-23 03:45:42.070221
/watch?v=YdMCL9_UTE4&pp=ygUNbWVudGFsIGhlYWx0aA%3D%3D,/@DWDocumentary,DW Documentary,Mental health and resilience - the secrets of inner strength | DW Documentary,274K,2 days,Around one billion people struggle with stress-related illness globally - and that figure is rising. What protects those with good ...,2024-01-23 03:45:42.072150
/watch?v=ibBSFyD32ho&pp=ygUNbWVudGFsIGhlYWx0aA%3D%3D,/@WJCTJax,WJCT Public Media,Navigating maternal mental health,4,2 days,"One in 5 U.S. women faces mental health challenges during the perinatal period, a leading cause of maternal mortality.",2024-01-23 03:45:42.086366
/watch?v=BvpmZktlBFs&pp=ygUNbWVudGFsIGhlYWx0aA%3D%3D,/@TED,TED,There's no shame in taking care of your mental health | Sangu Delle,364K,6 years,"When stress got to be too much for TED Fellow Sangu Delle, he had to confront his own deep prejudice: that men shouldn't take ...",2024-01-23 03:45:42.088247
/watch?v=nCrjevx3-Js&pp=ygUNbWVudGFsIGhlYWx0aA%3D%3D,/@AnnaFreudNCCF,Anna Freud,Talking Mental Health,890K,6 years,Talking Mental Health is an animation designed to help begin conversations about mental health in the classroom and beyond.,2024-01-23 03:45:42.090116
/watch?v=p6UCLe-QpYA&pp=ygUNbWVudGFsIGhlYWx0aA%3D%3D,/@HealthyGamerGG,HealthyGamerGG,This Is The Biggest Problem With Mental Health In Today's World,166K,7 months,#shorts #drk #mentalhealth.,2024-01-23 03:45:42.098966
/watch?v=1vOcs58qoJc&pp=ygUNbWVudGFsIGhlYWx0aA%3D%3D,/@1NewsNZ,1News,Ghahraman didn't use mental health as excuse - Mental health boss | TVNZ Breakfast,1.7K,5 hours,Shaun Robinson said the former Green MP cited mental health problems but didn't blame her behaviour on it. The head of the ...,2024-01-23 03:45:42.102760
